AT1,AT2,AT3,AT4,AT5,AT6,Class
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B9of9\'','\'B8of9\'','\'B3of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B3of9\'','\'B3of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B4of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B6of9\'','\'B4of9\'','\'B4of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B4of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B7of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B5of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B8of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B4of9\'','\'B4of9\'','\'B3of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B8of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B5of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B9of9\'','\'B5of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B1of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B6of9\'','\'B3of9\'','\'B3of9\'','\'B5of9\'','\'B1of9\'','\'B9of9\''
'\'B8of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B8of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B7of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B3of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B4of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B5of9\'','\'B5of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B5of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B9of9\'','\'B4of9\'','\'B3of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B3of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B4of9\'','\'B3of9\'','\'B2of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B4of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B5of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B3of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B1of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B7of9\'','\'B7of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\''
'\'B6of9\'','\'B7of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B6of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B9of9\''
'\'B5of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B5of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B6of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B8of9\'','\'B3of9\'','\'B3of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B9of9\''
'\'B4of9\'','\'B7of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B9of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B5of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B3of9\'','\'B2of9\'','\'B9of9\''
'\'B5of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B9of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B5of9\'','\'B5of9\'','\'B3of9\'','\'B4of9\'','\'B4of9\'','\'B3of9\'','\'B9of9\''
'\'B8of9\'','\'B2of9\'','\'B7of9\'','\'B5of9\'','\'B5of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B4of9\'','\'B3of9\'','\'B9of9\''
'\'B9of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B8of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B8of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\''
'\'B8of9\'','\'B4of9\'','\'B4of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B8of9\'','\'B4of9\'','\'B4of9\'','\'B5of9\'','\'B3of9\'','\'B3of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\''
'\'B5of9\'','\'B3of9\'','\'B4of9\'','\'B4of9\'','\'B3of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B2of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B9of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B3of9\'','\'B3of9\'','\'B9of9\''
'\'B8of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B4of9\'','\'B5of9\'','\'B6of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B4of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B2of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B8of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B3of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B4of9\'','\'B4of9\'','\'B3of9\'','\'B4of9\'','\'B1of9\''
'\'B7of9\'','\'B6of9\'','\'B4of9\'','\'B4of9\'','\'B4of9\'','\'B4of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B4of9\'','\'B5of9\'','\'B2of9\'','\'B4of9\'','\'B9of9\''
'\'B8of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B4of9\'','\'B1of9\''
'\'B5of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B4of9\'','\'B1of9\''
'\'B8of9\'','\'B2of9\'','\'B3of9\'','\'B3of9\'','\'B3of9\'','\'B4of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B4of9\'','\'B1of9\''
'\'B7of9\'','\'B6of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B4of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B5of9\'','\'B4of9\'','\'B4of9\'','\'B4of9\'','\'B1of9\''
'\'B8of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B4of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B4of9\'','\'B9of9\''
'\'B7of9\'','\'B3of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B4of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B5of9\'','\'B6of9\'','\'B7of9\'','\'B4of9\'','\'B9of9\''
'\'B6of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B4of9\'','\'B9of9\''
'\'B7of9\'','\'B4of9\'','\'B4of9\'','\'B5of9\'','\'B2of9\'','\'B4of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B2of9\'','\'B3of9\'','\'B4of9\'','\'B5of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B5of9\'','\'B5of9\'','\'B1of9\'','\'B5of9\'','\'B1of9\''
'\'B5of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B5of9\'','\'B9of9\''
'\'B8of9\'','\'B3of9\'','\'B2of9\'','\'B4of9\'','\'B3of9\'','\'B5of9\'','\'B9of9\''
'\'B8of9\'','\'B5of9\'','\'B3of9\'','\'B7of9\'','\'B2of9\'','\'B5of9\'','\'B9of9\''
'\'B7of9\'','\'B7of9\'','\'B3of9\'','\'B4of9\'','\'B3of9\'','\'B6of9\'','\'B9of9\''
'\'B8of9\'','\'B6of9\'','\'B2of9\'','\'B3of9\'','\'B2of9\'','\'B6of9\'','\'B9of9\''
'\'B7of9\'','\'B5of9\'','\'B3of9\'','\'B4of9\'','\'B4of9\'','\'B8of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B5of9\'','\'B4of9\'','\'B7of9\'','\'B9of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B6of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B9of9\''
'\'B7of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B8of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B8of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B1of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B3of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B7of9\'','\'B3of9\'','\'B3of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B5of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B6of9\'','\'B2of9\'','\'B2of9\'','\'B5of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B4of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B6of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B5of9\'','\'B2of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B5of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B5of9\'','\'B8of9\'','\'B2of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B4of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B7of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B8of9\'','\'B1of9\'','\'B3of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B4of9\'','\'B2of9\'','\'B2of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B6of9\'','\'B7of9\'','\'B2of9\'','\'B4of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
'\'B7of9\'','\'B5of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\'','\'B1of9\''
